UserID,User Name,ItemID,Movie Name,Rating,Timestamp
U001,Alice,M001,Inception,5,2024-01-15
U001,Alice,M002,The Dark Knight,4,2024-01-15
U001,Alice,M003,Frozen,3,2024-01-20
U001,Alice,M004,Interstellar,5,2024-01-22
U001,Alice,M005,Titanic,2,2024-01-25
U002,Bob,M001,Inception,4,2024-01-10
U002,Bob,M002,The Dark Knight,5,2024-01-12
U002,Bob,M003,Frozen,2,2024-01-18
U002,Bob,M006,The Matrix,4,2024-01-20
U002,Bob,M007,Gladiator,5,2024-01-25
U003,Charlie,M001,Inception,3,2024-01-05
U003,Charlie,M003,Frozen,4,2024-01-08
U003,Charlie,M004,Interstellar,2,2024-01-12
U003,Charlie,M007,Gladiator,3,2024-01-15
U003,Charlie,M008,Avatar,5,2024-01-20
U004,Diana,M002,The Dark Knight,5,2024-01-14
U004,Diana,M003,Frozen,3,2024-01-16
U004,Diana,M005,Titanic,4,2024-01-18
U004,Diana,M008,Avatar,4,2024-01-22
U004,Diana,M009,Pulp Fiction,5,2024-01-25
U005,Emma,M001,Inception,2,2024-01-09
U005,Emma,M004,Interstellar,4,2024-01-11
U005,Emma,M006,The Matrix,5,2024-01-15
U005,Emma,M007,Gladiator,2,2024-01-18
U005,Emma,M009,Pulp Fiction,3,2024-01-22
U006,Frank,M002,The Dark Knight,4,2024-01-07
U006,Frank,M005,Titanic,3,2024-01-10
U006,Frank,M006,The Matrix,2,2024-01-14
U006,Frank,M008,Avatar,5,2024-01-18
U006,Frank,M010,Forrest Gump,4,2024-01-22
U007,Grace,M001,Inception,5,2024-01-13
U007,Grace,M003,Frozen,4,2024-01-16
U007,Grace,M007,Gladiator,5,2024-01-19
U007,Grace,M009,Pulp Fiction,3,2024-01-23
U007,Grace,M010,Forrest Gump,4,2024-01-26
U008,Henry,M002,The Dark Knight,3,2024-01-08
U008,Henry,M004,Interstellar,5,2024-01-11
U008,Henry,M006,The Matrix,4,2024-01-15
U008,Henry,M008,Avatar,2,2024-01-19
U008,Henry,M009,Pulp Fiction,5,2024-01-24
U009,Ivy,M001,Inception,4,2024-01-12
U009,Ivy,M003,Frozen,5,2024-01-14
U009,Ivy,M005,Titanic,3,2024-01-17
U009,Ivy,M007,Gladiator,4,2024-01-21
U009,Ivy,M010,Forrest Gump,5,2024-01-25
U010,Jack,M002,The Dark Knight,5,2024-01-06
U010,Jack,M004,Interstellar,3,2024-01-09
U010,Jack,M006,The Matrix,5,2024-01-13
U010,Jack,M008,Avatar,4,2024-01-17
U010,Jack,M009,Pulp Fiction,2,2024-01-21
